KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
MinigunEpic,[c][FF7B00]Laser Minigun[-][/c],,Mitrailleuse laser (Epique),,,,,,,,,,,,,,
Sniper2Epic,[c][FF7B00]M-77 Anti-Tank Rifle[-][/c],,Fusil sniper lourd (Epique),,,,,,,,,,,,,,
LaserRifleEpic,[c][FF7B00]Plasma Rifle[-][/c],,Fusil à plasma (Epique),,,,,,,,,,,,,,
PulseRifleEpic,[c][FF7B00]Energy Pulse Rifle[-][/c],,Fusil à impulsion EM (Epique),,,,,,,,,,,,,,
RocketLauncherEpic,[c][FF7B00]Advanced Guided Rocket Launcher[-][/c],,Lance-roquettes (Epique),,,,,,,,,,,,,,
ScifiCannonEpic,[c][FF7B00]High-Output Plasma Cannon[-][/c],,Canon à plasma (Epique),,,,,,,,,,,,,,
ShieldGeneratorSV,Standard Shield Generator,,Bouclier à polarisation magnétique,,,,,,,,,,,,,,
ShieldGeneratorHV,Mobile Shield Generator,,Bouclier à polarisation magnétique,,,,,,,,,,,,,,
DrillAttachmentLarge,Large Mechanical Drill Module,,Grosse foreuse mécanique,,,,,,,,,,,,,,
DrillAttachmentLargeWeapon,Large Mechanical Drill,,Grosse foreuse,,,,,,,,,,,,,,
Antenna06,Signal Transmitter,,Antenne 7,,,,,,,,,,,,,,
Antenna07,Signal Receiver,,Antenne 8,,,,,,,,,,,,,,
Antenna08,Long-Ranged Tranceiver,,Antenne 9,,,,,,,,,,,,,,
Antenna09,Long-Ranged Receiver,,Antenne 10,,,,,,,,,,,,,,
Antenna10,Deep Space Transceiver,,Antenne 11,,,,,,,,,,,,,,
Antenna11,Deep Space Transmitter,,Antenne 12,,,,,,,,,,,,,,
Antenna12,Signal Repeater,,Antenne 13,,,,,,,,,,,,,,
Antenna13,Wideband Transceiver,,Antenne 14,,,,,,,,,,,,,,
DoorSingleRArmored,Armored Single Door (R),,Porte auto blindée (droite),,,,,,,,,,,,,,
DoorSingleLArmored,Armored Single Door (L),,Porte auto blindée (gauche),,,,,,,,,,,,,,
DoorSingleGlassRArmored,Armored Single Door Glass (R),,Porte auto blindée verre (droite),,,,,,,,,,,,,,
DoorSingleGlassLArmored,Armored Single Door Glass (L),,Porte auto blindée verre (gauche),,,,,,,,,,,,,,
DoorSingleGlassFullRArmored,Armored Single Door Full Glass (R),,Porte auto blindée verre (droite),,,,,,,,,,,,,,
DoorSingleGlassFullLArmored,Armored Single Door Full Glass (L),,Porte auto blindée verre (gauche),,,,,,,,,,,,,,
SVDecoIntake02New,Intake Vent,,Module d'admission 2,,,,,,,,,,,,,,
DoorSingleTwoWings,Armored Double Door,,Porte double blindée,,,,,,,,,,,,,,
DoorSingleTwoWingsGlass,Armored Double Door Glass,,Porte double blindée (verre),,,,,,,,,,,,,,
DoorSingleTwoWingsGlassFull,Armored Double Door Full Glass,,Porte double blindée (verre),,,,,,,,,,,,,,
VentilatorBlocks,Ventilators,,Ventilateurs,,,,,,,,,,,,,,
VentilatorCubeHalf,Ventilator (Cube Half),,Ventilateur (médium),,,,,,,,,,,,,,
SVDecoAeroBlister01,Aero Blister,,Aéro blister,,,,,,,,,,,,,,
SVDecoAirbrake01,Airbrake,,Aérofrein,,,,,,,,,,,,,,
SVDecoAntenna01,Antenna,,Antenne 1,,,,,,,,,,,,,,
SVDecoAntenna02,Calibrated Antenna,,Antenne 2,,,,,,,,,,,,,,
SVDecoArmor1x,Armored Hatch,,Blindage 1x,,,,,,,,,,,,,,
SVDecoArmor2x,Large Armored Hatch,,Blindage 2x,,,,,,,,,,,,,,
SVDecoFin01,Microthruster Wing,,Aileron 1,,,,,,,,,,,,,,
SVDecoFin02,External Tank,,Aileron 2,,,,,,,,,,,,,,
SVDecoFin03,Steering Vane,,Aileron 3,,,,,,,,,,,,,,
SVDecoGreeble01,Metal Cap,,Couplage 1,,,,,,,,,,,,,,
SVDecoGreeble02,Dual Cap,,Couplage 2,,,,,,,,,,,,,,
SVDecoGreeble03,Pipes,,Couplage 3,,,,,,,,,,,,,,
SVDecoIntake01,Scooped Intake,,Module d'admission 1,,,,,,,,,,,,,,
SVDecoLightslot2x,Light Strip (Short),,Rampe lumineuse 2x,,,,,,,,,,,,,,
SVDecoLightslot3x,Light Strip (Long),,Rampe lumineuse 3x,,,,,,,,,,,,,,
SVDecoStrake01,Strake,,Armature 1,,,,,,,,,,,,,,
SVDecoStrake02,Radiant Strake,,Armature 12,,,,,,,,,,,,,,
SVDecoVent01,Vent,,Event 1,,,,,,,,,,,,,,
TribalBarrels,Barrels,,Tonneaux,,,,,,,,,,,,,,
TribalBox,Box,,Coffre,,,,,,,,,,,,,,
TribalBarrow,Barrow,,Charette,,,,,,,,,,,,,,
TribalBoat,Boat,,Barque,,,,,,,,,,,,,,
TribalBaskets,Baskets,,Corbeilles,,,,,,,,,,,,,,
TribalBed1,Wooden Bed,,Lit 1,,,,,,,,,,,,,,
TribalBed2,Straw Bed,,Lit 2,,,,,,,,,,,,,,
TribalBookcase1,Book Case,,Etagère,,,,,,,,,,,,,,
TribalBookcase2,Wooden Cabinet,,Meuble bas,,,,,,,,,,,,,,
TribalBuckets,Buckets,,Paniers,,,,,,,,,,,,,,
TribalCabinet1,Double Cabinet,,Commode 1,,,,,,,,,,,,,,
TribalCabinet2,Cloth Cabinet,,Commode 2,,,,,,,,,,,,,,
TribalCauldron,Cauldron,,Chaudron 1,,,,,,,,,,,,,,
TribalCauldron2,Large Cauldron,,Chaudron 2,,,,,,,,,,,,,,
TribalTub,Tub,,Baquet,,,,,,,,,,,,,,
TribalDryFish,Dry Fish,,Poisson séché,,,,,,,,,,,,,,
TribalLoom,Loom,,Métier à tisser,,,,,,,,,,,,,,
TribalOven,Oven,,Four,,,,,,,,,,,,,,
TribalHearth,Forge,,Forge,,,,,,,,,,,,,,
TribalSacks,Sacks,,Sacs,,,,,,,,,,,,,,
TribalTable1,Table and Benches,,Table 1,,,,,,,,,,,,,,
TribalTable2,Table and Chairs,,Table 2,,,,,,,,,,,,,,
TribalChair,Chair,,Chaise,,,,,,,,,,,,,,
TribalWoodSaw,Wood Saw,,Chevalet bois,,,,,,,,,,,,,,
TribalFirewood,Firewood,,Tas de bois,,,,,,,,,,,,,,
TribalTrunkAxe,Chopping Block,,Billot et hache,,,,,,,,,,,,,,
TribalTorch,Torch,,Torche,,,,,,,,,,,,,,
TribalFirepit,Firepit,,Foyer,,,,,,,,,,,,,,
ShieldGeneratorPOI,Alien Shield Generator,,Bouclier à polarisation magnétique (POI),,,,,,,,,,,,,,
TurretIONCannon,Ion Cannon  (Alien),,Tourelle à plasma (Alien),,,,,,,,,,,,,,
TurretIONCannon2,Heavy Ion Cannon (Alien),,Tourelle à plasma 2 (Alien),,,,,,,,,,,,,,
TurretEnemyEMP,EMP Turret (Alien),,Tourelle à Ion (Alien),,,,,,,,,,,,,,
TalonGuardianBaseAttack,Tal'on Hunter,,Gardian Tal'on,,,,,,,,,,,,,,
TalonGuardianShamanBaseAttack,Tal'on Shaman,,Chaman Tal'on,,,,,,,,,,,,,,
TalonSpider01,Erebus Spider,,Erebus Arraignée,,,,,,,,,,,,,,
TalonCrawler,Crawler,,Cerbère,,,,,,,,,,,,,,
TalonCaveWormGrey,Argos Minor,,Ver des cavernes,,,,,,,,,,,,,,
TalonPangolin,Thymosaurus,,Thymosaurus,,,,,,,,,,,,,,
TalonSpider03,Pluton Spider,,Pluton Arraignée,,,,,,,,,,,,,,
cplActiveTier,[c][FF0000]CPU Tiers are LOCKED[-][/c],,Niveau actif,,,,,,,,,,,,,,
cplCPUPointTiers,CPU Point Distribution,,Niveaux et  Points CPU,,,,,,,,,,,,,,
cplTierStats,CPU Statistics,,Eléments CPU,,,,,,,,,,,,,,
cplCPUStats,CPU Statistics,,Statistiques CPU,,,,,,,,,,,,,,
WalkwayLargeBlocks,Walkways & Railings (Large),,Passerelles et rambardes L,,,,,,,,,,,,,,
WalkwaySmallBlocks,Walkways & Railings (Small),,Passerelles et rambardes S,,,,,,,,,,,,,,
lblCpuTierClass:,[c][FF0000]CPU Tiers are LOCKED:[-][/c],,Niveau CPU:,,,,,,,,,,,,,,
CPUExtenderBAT4,CPU Extender (Advanced),,Extension CPU T4,,,,,,,,,,,,,,
CPUExtenderBAT3,CPU Extender (Improved),,Extension CPU T3,,,,,,,,,,,,,,
CPUExtenderBAT2,CPU Extender (Basic),,Extension CPU T2,,,,,,,,,,,,,,
CPUExtenderCVT4,CPU Extender (Advanced),,Extension CPU T4,,,,,,,,,,,,,,
CPUExtenderCVT3,CPU Extender (Improved),,Extension CPU T3,,,,,,,,,,,,,,
CPUExtenderCVT2,CPU Extender (Basic),,Extension CPU T2,,,,,,,,,,,,,,
CPUExtenderSVT4,CPU Extender (Advanced),,Extension CPU T4,,,,,,,,,,,,,,
CPUExtenderSVT3,CPU Extender (Improved),,Extension CPU T3,,,,,,,,,,,,,,
CPUExtenderSVT2,CPU Extender (Basic),,Extension CPU T2,,,,,,,,,,,,,,
CPUExtenderHVT4,CPU Extender (Advanced),,Extension CPU T4,,,,,,,,,,,,,,
CPUExtenderHVT3,CPU Extender (Improved),,Extension CPU T3,,,,,,,,,,,,,,
CPUExtenderHVT2,CPU Extender (Basic),,Extension CPU T2,,,,,,,,,,,,,,
SmallOptronicBridge,Small Optronic Bridge,,Pont optronique (petit),,,,,,,,,,,,,,
SmallOptronicMatrix,Small Optronic Matrix,,Matrice optronique (petite),,,,,,,,,,,,,,
LargeOptronicBridge,Large Optronic Bridge,,Pont optronique (grand),,,,,,,,,,,,,,
LargeOptronicMatrix,Large Optronic Matrix,,Matrice optronique (grande),,,,,,,,,,,,,,
Coolant,Coolant,,Réfrigérant,,,,,,,,,,,,,,
Chemicals,Chemicals,,Produits chimiques,,,,,,,,,,,,,,
Filters,Filters,,Filtres,,,,,,,,,,,,,,
SpareParts,Spare Parts,,Pièces détachées,,,,,,,,,,,,,,
ScienceEquipment,Science Equipment,,Équipement scientifique,,,,,,,,,,,,,,
MutatedSubstance,Mutated Substance,,Substance mutante,,,,,,,,,,,,,,
TechnicalArtifact,Technical Artifact,,Artéfact technologique,,,,,,,,,,,,,,
GeneratorSVSmall,Basic Generator,,Petit générateur,,,,,,,,,,,,,,
FuelTankSVSmall,Small Fuel Tank,,Petit réservoir de carburant,,,,,,,,,,,,,,
TalonCrossbowWeaponCharged,Crossbow (Plasma Charged),,Arbalète plasma,,,,,,,,,,,,,,
MeleeTalonGuardianCharged,Staff of Guidance,,Bâton de guide,,,,,,,,,,,,,,
TurretEnemyBallistaCharged,Ballista (Plasma Charged),,Baliste plasma,,,,,,,,,,,,,,
KeyCardBlack,Keycard,,Carte magnétique,,,,,,,,,,,,,,
KeyCardGreen,Keycard,,Carte magnétique,,,,,,,,,,,,,,
KeyCardRed,Keycard,,Carte magnétique,,,,,,,,,,,,,,
KeyCardYellow,Keycard,,Carte magnétique,,,,,,,,,,,,,,
KeyCardBlue,Keycard,,Carte magnétique,,,,,,,,,,,,,,
AlphaVirus,Viral Sample,,Virus Alpha,,,,,,,,,,,,,,
ToxicLiquid,Toxic Liquid,,Liquide toxique,,,,,,,,,,,,,,
Tablet,Tablet,,Tablette,,,,,,,,,,,,,,
igmTalonAttackStatus,"Your Base is under Tal'on Attack! Kill all Shamans around it to stop it, or defend the base for {0} minutes.",,Votre base est attaquée par las Talons! Tuez tous les chamans alentour pour mettre fin à l'attaque ou défendez la base pendant {0} minutes.,,,,,,,,,,,,,,
igmSpacePOIDefenseReinfImminent,Incoming warp signatures detected by long-range scanners!\nEstimated time of arrival: 60 seconds,,"Sortie d'hyperpropulsion de renforts Alien dans 60 secondes ",,,,,,,,,,,,,,
igmSpacePOIDefenseReinfWarpIn,Multiple contacts detected dropping out of warp! Brace for fire!,,Renforts détectés! Préparez-vous au combat!,,,,,,,,,,,,,,
igmSpacePOIDefenseCored,Distress signal has been silenced. All enemy crafts are retreating.,,"La base a été vaincue, toutes les unités ennemies battent en retraite.",,,,,,,,,,,,,,
igmSpacePOIDefenseDefeated,Enemy crafts have been disabled. Long-range scanners indicate that no more ships are approaching.,,Tous les renforts Alien ont été vaincus.,,,,,,,,,,,,,,
igmSpacePOIDefenseReinfDetected,Sensors detected a distress signal being broadcasted from the station. Reinforcements will arrive in {0:F0} minutes.,,La base a demandé des renforts. Ils arriveront dans {0:F0} minutes.,,,,,,,,,,,,,,
ThrusterSVRoundLargeT2,Advanced Large Thruster,,Propulseur L (v2),,,,,,,,,,,,,,
ThrusterSVRoundLarge,Large Thruster,,Propulseur L,,,,,,,,,,,,,,
ThrusterSVRoundNormalT2,Advanced Medium Thruster,,Propulseur M (v2),,,,,,,,,,,,,,
igmRadarScanTimeout,Scanner is recalibrating\nPlease wait...,,"Rechargement du scanner, patientez...",,,,,,,,,,,,,,
mapUnknownPOI,<Heat Signature>,,<Signature Thermique>,,,,,,,,,,,,,,
mapUnknownResource,<Radar Signature>,,<Signature Radar>,,,,,,,,,,,,,,
bkiDetector,Allows to scan an area for structures and resources in range of the device.\nWorks on planets and in space.,,Permet de scanner une zone pour les structures et les ressources à portée. \nFonctionne sur les planètes et dans l'espace.,,,,,,,,,,,,,,
RadarSuitT1,Detector,,Scanner,,,,,,,,,,,,,,
DetectorCV,Detector,,Scanner,,,,,,,,,,,,,,
igmGeneratorOverload,[c][FFFF00]WARNING!\nGenerator Overload Detected![-][/c]\nGenerator Durability Remaining: {0} %,,Dégâts de surcharge détectés!\nÉnergie du générateur à: {0} %,,,,,,,,,,,,,,
TheLegacy,The Legacy,,Legacy,,,,,,,,,,,,,,
Trader,Trade Guild,,Guilde des commerçants,,,,,,,,,,,,,,
Zirax,Zirax Empire,,Empire Zirax,,,,,,,,,,,,,,
Talon,Tal'on Clans,,Talon,,,,,,,,,,,,,,
Polaris,Polaris Megacorp,,Mégacorporation Polaris,,,,,,,,,,,,,,
Kriel,Kriel Broodswarm,,Empire Kriel,,,,,,,,,,,,,,
UCH,UCH,,UCH,,,,,,,,,,,,,,
TitanOre,Titanium Ore,,Minerai de Titane,,,,,,,,,,,,,,
TitanRods,Titanium Ingot,,Barres deTitane,,,,,,,,,,,,,,
TitanPlates,Titanium Plates,,Plaques de Titane,,,,,,,,,,,,,,
TeleporterBA,Teleporter,,Téléporteur,,,,,,,,,,,,,,
TeleporterCV,Teleporter,,Téléporteur,,,,,,,,,,,,,,
bkiTeleporterCV,Allows to teleport in the same sector. Cannot be used when the vessel is moving.,,Permet de se téléporter dans le même secteur. Ne peut pas être utilisé lors du déplacement du vaisseau.,,,,,,,,,,,,,,
bkiTeleporterBA,Allows to teleport to far away targets.,,Permet la téléportation vers des destinations éloignées.,,,,,,,,,,,,,,
mapTitanResource,Titanium,,Titane,,,,,,,,,,,,,,
IceBlocks,Ice Chunks,,Eau ou glace,,,,,,,,,,,,,,
TitanResource,Titanium deposit,,Gisement de Titane,,,,,,,,,,,,,,
mapIceResource,Ice,,Glace,,,,,,,,,,,,,,
TurretAlien,[c][F300FF]Legacy Disruptor[-][/c],,[c][F300FF]Legacy Disruptor[-][/c],,,,,,,,,,,,,,
bkiTurretAlien,High-powered anti-proton beam emitter that disrupts the molecular cohesion of interconnected matter.\nNot allowed in player blueprints!,,Emetteur de rayon anti-proton à haute puissance qui perturbe la cohésion moléculaire de la matière interconnectée.\nInterdit dans les blueprints des joueurs !,,,,,,,,,,,,,,
AsteroidTitan,Titanium Meteorite,,Météorite de titane,,,,,,,,,,,,,,
AsteroidIce,Ice Meteorite,,Météorite de glace,,,,,,,,,,,,,,
IceResource,Ice,,Glace,,,,,,,,,,,,,,
SteelPlateArmored,Sathium Plates,,Plaque de Sathium,,,,,,,,,,,,,,
AluminiumOre,Aluminium Ore,,Minerai d'Aluminium,,,,,,,,,,,,,,
AluminiumPowder,Aluminium Powder,,Poudre d'Aluminium,,,,,,,,,,,,,,
AluminiumCoil,Aluminium Foil,,Bobine d'Aluminium,,,,,,,,,,,,,,
AluminiumResource,Aluminium,,Gisement d'Aluminium,,,,,,,,,,,,,,
mapAluminiumResource,Aluminium,,Aluminium,,,,,,,,,,,,,,
AsteroidAluminium,Aluminium Meteorite,,Météorite d'Aluminium,,,,,,,,,,,,,,
PlatinOre,Platinum Ore,,Minerai de Platine,,,,,,,,,,,,,,
PlatinBar,Platinum Ingot,,Lingot de Platine,,,,,,,,,,,,,,
PlatinOunce,Platinum Plate,,Barre de Platine,,,,,,,,,,,,,,
PlatinResource,Platinum,,Gisement de Platine,,,,,,,,,,,,,,
mapPlatinResource,Platinum,,Platine,,,,,,,,,,,,,,
AsteroidPlatin,Platinum Meteorite,,Météotite de Platine,,,,,,,,,,,,,,
TurretZiraxMSLaser,Imperial Laser Turret,,Canon Laser Impérial,,,,,,,,,,,,,,
bkiTurretZiraxMSLaser,Variant used by the Zirax Empire on their Capital Vessels,,Variante utilisée par l'Empire Zirax sur ses vaisseaux mères,,,,,,,,,,,,,,
TurretZiraxMSPlasma,Imperial Plasma Turret,,Canon à Plasma Impérial,,,,,,,,,,,,,,
bkiTurretZiraxMSPlasma,Variant used by the Zirax Empire on their Capital Vessels,,Variante utilisée par l'Empire Zirax sur ses vaisseaux mères,,,,,,,,,,,,,,
TurretZiraxMSRocket,Imperial Missile Turret,,Tourelle lance-missiles impériale,,,,,,,,,,,,,,
bkiTurretZiraxMSRocket,Variant used by the Zirax Empire on their Capital Vessels,,Variante utilisée par l'Empire Zirax sur ses vaisseaux mères,,,,,,,,,,,,,,
SpaceDroneKrielLaser,Disturber,,Drone spatial (laser),,,,,,,,,,,,,,
SoldierAlienAssaultRifle,Soldier,,Garde,,,,,,,,,,,,,,
SoldierAlienShotgun,Soldier,,Garde,,,,,,,,,,,,,,
SoldierHumanMale2AssaultRifle,Elite Soldier,,Soldat d'élite,,,,,,,,,,,,,,
SoldierHumanMale2Shotgun,Elite Soldier,,Soldat d'élite,,,,,,,,,,,,,,
SoldierHumanMaleAssaultRifle,Soldier,,Soldat,,,,,,,,,,,,,,
SoldierHumanMaleShotgun,Soldier,,Soldat,,,,,,,,,,,,,,
PilotMale,Pilot,,Pilote,,,,,,,,,,,,,,
OfficerFemale1,Officer,,Officier,,,,,,,,,,,,,,
OfficerFemale2,Officer,,Officier,,,,,,,,,,,,,,
OfficerMale1,Officer,,Officier,,,,,,,,,,,,,,
OfficerMale2,Officer,,Officier,,,,,,,,,,,,,,
Hexapod,Coordinator,,Surveillant Alien,,,,,,,,,,,,,,
AlienAssassinGrey,Infiltrator,,Soldat,,,,,,,,,,,,,,
AlienAssassinRed,Renegade,,Assassin,,,,,,,,,,,,,,
Creepy,Mimicrys,,Terreur rampante,,,,,,,,,,,,,,
Overseer,Overseer,,Superviseur Alien,,,,,,,,,,,,,,
TotalHorror,Abomination,,Cauchemar,,,,,,,,,,,,,,
Ripperdog,Ripperdog,,Chien éventreur,,,,,,,,,,,,,,
Mechanoid,Mechanoid,,MÉCHA de combat,,,,,,,,,,,,,,
SpaceDronePolarisLaser,Surveyor Drone,,Drone laser,,,,,,,,,,,,,,
SpaceDroneTraderLaser,Laser Sentinel,,Drone laser,,,,,,,,,,,,,,
bhiPlayerBackpack,Defines which items the player keeps from his inventory and toolbar when respawning after death.,,Objets que le joueur garde dans son inventaire et sa barre outils lorsqu'il réapparaît après sa mort.,,,,,,,,,,,,,,
diffBackpackNothing,Everything,,Tout,,,,,,,,,,,,,,
diffBackpackBag,Toolbar items only,,Juste barre outils,,,,,,,,,,,,,,
diffBackpackEverything,Nothing,,Rien,,,,,,,,,,,,,,
HumanCivilianMale1,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale2,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale3,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale4,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianFemale1,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianFemale2,Civilian,,Civil,,,,,,,,,,,,,,
TurretSVSmall,Laser Turret,,Tourelle laser à impulsion,,,,,,,,,,,,,,
SpaceDroneLegacyLaser,Symbiote,,Drone laser,,,,,,,,,,,,,,
DrillAttachmentSVT2,Laser Drill Module (SV),,Foreuse laser,,,,,,,,,,,,,,
SpaceDroneBattered01,Scrapper,,Drone laser (endommagé),,,,,,,,,,,,,,
SpaceDroneBattered02,Junk Heap,,Drone laser (endommagé),,,,,,,,,,,,,,
PulseLaserChargeSS,[c][00FF00]Type-A Laser Charge[-][/c],,Charge laser SV/HV,,,,,,,,,,,,,,
mnuPlayerBackpack,Keep inventory on death,,Inventaire après mort,,,,,,,,,,,,,,
PlasmaCannonAlien,[c][CC00DC]Plasma Blaster[-][/c],,Blaster à plasma,,,,,,,,,,,,,,
PlasmaCannonAlienCharge,Plasma Blaster Charge,,Charge Blaster à plasma,,,,,,,,,,,,,,
FlameThrower,[c][15FF58]Flamethrower[-][/c],,Lance-flammes,,,,,,,,,,,,,,
FlameThrowerCanister,Ethanol Canister,,Combustible Lance-flammes,,,,,,,,,,,,,,
bkiFlameThrower,A short-to-medium ranged weapon that fires and ignites a stream of modified biofuel to set targets on fire.\nATTENTION: Firing directly at the ground in front of you can hurt you as well!,,Une arme de courte et moyenne portée permettant de projeter un liquide enflammé à base de biocarburant modifié pour mettre le feu à des cibles. \nATTENTION: tirer directement au sol devant vous peut également vous blesser!,,,,,,,,,,,,,,
bkiFlameThrowerCanister,Modified biofuel for use with Advanced Flamethrower.,,Biocarburant modifié à utiliser avec les lance-flammes.,,,,,,,,,,,,,,
bkiPlasmaCannonAlien,Plasma Blaster of unknown origin. The KRIEL is said to have developed these weapons.,,Blaster plasma d'origine inconnue. L'empire KRIEL aurait développé ces armes.,,,,,,,,,,,,,,
bkiPlasmaCannonAlienCharge,Plasma Charge for use with a Plasma Blaster.,,Charge plasma à utiliser avec un Blaster plasma,,,,,,,,,,,,,,
cplTraderDialogue,Dialogue,,Dialogue,,,,,,,,,,,,,,
titleRewardedBy:,Chapter can be unlocked by completing:,,Le chapitre peut être débloqué en complétant:,,,,,,,,,,,,,,
entityTalkTo,Press {{0}} to talk to {0},,Pressez {{0}} pour parler à {0},,,,,,,,,,,,,,
AlienBug02Group,Nyxiss Scorpion,,Scorpion Nyxiss,,,,,,,,,,,,,,
AlienBug03Group,Wraithworm,,Wraithworm,,,,,,,,,,,,,,
Titan Asteroid,Titanium Asteroid,,Astéroïde de Titane,,,,,,,,,,,,,,
Iron Asteroid,Iron Asteroid,,Astéroïde de Fer,,,,,,,,,,,,,,
Copper Asteroid,Copper Asteroid,,Astéroïde de Cuivre,,,,,,,,,,,,,,
Silicon Asteroid,Silicon Asteroid,,Astéroïde de Silicium,,,,,,,,,,,,,,
Magnesium Asteroid,Magnesium Asteroid,,Astéroïde de Magnésium,,,,,,,,,,,,,,
Cobalt Asteroid,Cobalt Asteroid,,Astéroïde de Cobalt,,,,,,,,,,,,,,
Neodymium Asteroid,Neodymium Asteroid,,Astéroïde de Néodymium,,,,,,,,,,,,,,
Promethium Asteroid,Promethium Asteroid,,Astéroïde de Prométhium,,,,,,,,,,,,,,
Sathium Asteroid,Sathium Asteroid,,Astéroïde de Sathium,,,,,,,,,,,,,,
Erestrum Asteroid,Erestrum Asteroid,,Astéroïde d'Érestrum,,,,,,,,,,,,,,
Zascosium Asteroid,Zascosium Asteroid,,Astéroïde de Zascosium,,,,,,,,,,,,,,
Pentaxid Asteroid,Pentaxid Asteroid,,Astéroïde de Pentaxid,,,,,,,,,,,,,,
Gold Asteroid,Gold Asteroid,,Astéroïde d'Or,,,,,,,,,,,,,,
Ice Asteroid,Ice Asteroid,,Astéroïde de Glace,,,,,,,,,,,,,,
Aluminium Asteroid,Aluminium Asteroid,,Astéroïde d'Aluminium,,,,,,,,,,,,,,
Platin Asteroid,Platinum Asteroid,,Astéroïde de Platine,,,,,,,,,,,,,,
CommodityItemsGlobal,Commodity Item. Can be sold at and bought from certain traders.,,Marchandise de base. Peut être achetée et vendue chez certains commerçants.,,,,,,,,,,,,,,
MarketPrice,Marketprice (average),,Prix moyen du marché,,,,,,,,,,,,,,
ZiraxCivilianMaleBlue,Civilian,,Civil,,,,,,,,,,,,,,
ZiraxCivilianFemaleBlue,Civilian,,Civil,,,,,,,,,,,,,,
DamagedCyborg,Damaged Droid,,Android (endommagé),,,,,,,,,,,,,,
EngineerCyborg,Droid Mechanic,,Android (ingénieur),,,,,,,,,,,,,,
MedicCyborg,Medical Droid,,Android (médecin),,,,,,,,,,,,,,
ServantCyborg,Service Droid,,Android (domestique),,,,,,,,,,,,,,
TalonCivilianAdvancedGreen,Civilian,,Civil,,,,,,,,,,,,,,
TalonCivilianAdvancedRed,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian1Static,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian1FatStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian1SmallStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian2Static,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian2FatStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian2ThinStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian3Static,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian3FatStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian4Static,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian4FatStatic,Civilian,,Civil,,,,,,,,,,,,,,
AlienCivilian5Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale1Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale2Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale3Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianMale4Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianFemale1Static,Civilian,,Civil,,,,,,,,,,,,,,
HumanCivilianFemale2Static,Civilian,,Civil,,,,,,,,,,,,,,
PilotMaleStatic,Pilot,,Pilote,,,,,,,,,,,,,,
OfficerFemale1Static,Officer,,Officier,,,,,,,,,,,,,,
OfficerFemale2Static,Officer,,Officier,,,,,,,,,,,,,,
OfficerMale1Static,Officer,,Officier,,,,,,,,,,,,,,
OfficerMale2Static,Officer,,Officier,,,,,,,,,,,,,,
ZiraxCivilianMaleBlueStatic,Civilian,,Civil,,,,,,,,,,,,,,
ZiraxCivilianFemaleBlueStatic,Civilian,,Civil,,,,,,,,,,,,,,
TalonCivilianAdvancedGreenStatic,Civilian,,Civil,,,,,,,,,,,,,,
TalonCivilianAdvancedRedStatic,Civilian,,Civil,,,,,,,,,,,,,,
DamagedCyborgStatic,Damaged Droid,,Android (endommagé),,,,,,,,,,,,,,
EngineerCyborgStatic,Droid Mechanic,,Android (ingénieur),,,,,,,,,,,,,,
MedicCyborgStatic,Medical Droid,,Android (médecin),,,,,,,,,,,,,,
ServantCyborgStatic,Service Droid,,Android (domestique),,,,,,,,,,,,,,
TalonGuardianBlue,Warrior,,Guerrier,,,,,,,,,,,,,,
TalonGuardianRed,Warrior,,Guerrier,,,,,,,,,,,,,,
TalonGuardianCrossbow,Hunter,,Guerrier (arbalète),,,,,,,,,,,,,,
TalonAdvancedGreen,Tal'on Soldier,,Gardian,,,,,,,,,,,,,,
TalonAdvancedRed,Tal'on Soldier,,Gardian,,,,,,,,,,,,,,
TalonGuardian,Warrior,,Guerrier,,,,,,,,,,,,,,
TalonGuardianCrossbowGroup,Hunter,,Guerriers (arbalète),,,,,,,,,,,,,,
TalonSentinelCrossbow,Hunter,,Guerrier (arbalète),,,,,,,,,,,,,,
